,neuronID,r2_score,adj_r2,mean_squared_error,explained_variance_score,baseline,gamma,model,explained_variance_score_task,task,explained_variance_score_choice,choice,explained_variance_score_visC,visC,explained_variance_score_audC,audC,explained_variance_score_audI,audI,hemi,BerylAcronym,bombcell_class,is_good,ml,ap,dv,presenceRatio,percentageSpikesMissing_gaussian,fractionRPVs_estimatedTauR,signalToNoiseRatio,subject,date,fitID,sessionID,audR_behav,audL_behav,visR_behav,visL_behav,gamma_behav,bias_behav,subject_behav,date_behav,SPL_behav,log_loss_behav
258,neuron_62,0.1944213461942378,0.1874315097186997,77.85628163114654,0.1945463907285726,8.73220783260814,1.0,vis_choice,0.0013430352218387,1.0429133737270782,0.0064600923950485,-0.7924277068049754,0.2046374588748736,31.238461599288247,,,,,1.0,SCm,good,True,6648.054180317699,9108.699214472612,1910.666097892474,1.0,0.7546025066214934,0.0568112310847227,,AV014,2022-06-13,AV014_2022-06-13_neuron_62,AV014_2022-06-13,2.7813592151135778,-1.3302210854069794,3.156596384919548,-3.130984283995062,0.885618665037805,0.7909364287945395,AV014,2022-06-13,high,0.4253282014586008
264,neuron_11,0.4755672617299149,0.4741023658129594,197.7800722900173,0.47767784956429,-1.0880185641326534e-14,1.0,choice,0.3312042303974035,25.113382752904545,0.0058868580838495,-1.3542114106516248,,,,,,,1.0,SCm,good,True,7357.15023339508,8735.308719545414,2942.805510257316,1.0,1.14983565386787,0.0094744655334959,,AV025,2022-11-07,AV025_2022-11-07_neuron_11,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
265,neuron_1115,0.0418007499463958,0.0377803335126045,111.31788001875866,0.0418010548818326,10.473514617900417,1.0,aud_choice,0.0240637334131907,3.0592014792327067,0.0025862747078,-0.3913772716906005,,,0.0077025910611877,3.5480225182149496,,,-1.0,SCs,good,True,4108.782719955327,9421.687772094992,1824.4350874905567,1.0,0.1737405951267034,0.0466957268518522,,AV025,2022-11-07,AV025_2022-11-07_neuron_1115,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
269,neuron_1150,0.0364308989014997,0.0310327526768582,213.15891132750585,0.0378490456173257,16.97818419867174,1.5,vis_choice,0.0116857945227691,-3.5000004936158664,0.0043221687861725,-0.938731940964694,0.0123619921549565,6.088772375443505,,,,,-1.0,SCm,good,True,4083.288826486901,9412.73642723414,2059.21234075185,0.9707602339181286,8.747530418173355,0.0452265791230462,,AV025,2022-11-07,AV025_2022-11-07_neuron_1150,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
271,neuron_1152,0.168952893110747,0.1631250732868391,247.99866368992065,0.1700986405433641,14.522411227660562,1.4,av_choice,0.132103770000673,17.103925020671483,0.0103999306173763,-1.9861570932397183,0.0224861466151785,5.98934331437895,0.0024791708647409,0.9566672774260708,,,-1.0,SCm,good,True,4087.052466139251,9414.374942302931,2019.7809393461475,0.9298245614035088,0.1296258777309766,0.0070773195830681,,AV025,2022-11-07,AV025_2022-11-07_neuron_1152,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
276,neuron_1218,0.3703966721504681,0.3686380036369219,64.74382813146211,0.3707563635217769,6.011315417256012,1.0,choice,0.2695459967007684,12.459616668935356,0.0098179345252271,-0.8428357170023943,,,,,,,-1.0,SCm,good,True,3966.095503085016,8978.74511259548,2881.3137990819328,0.912280701754386,7.297871119915134,0.0030137402929244,,AV025,2022-11-07,AV025_2022-11-07_neuron_1218,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
279,neuron_1230,0.7127186467993563,0.7115132704922207,559.3620253265042,0.7127739877344337,35.295216835934724,1.0,aud_choice,0.5279877319816179,76.37103255984282,0.0140864402342082,-6.322542062406413,,,0.0017716884863605,1.8725293270023728,,,-1.0,SCm,good,True,3965.311218606448,8982.932153224649,2707.58104384248,0.953216374269006,0.0007716015248071,0.0004759441555098,,AV025,2022-11-07,AV025_2022-11-07_neuron_1230,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
285,neuron_13,0.4128892412076618,0.4104258394225192,716.6538786296937,0.419351185155394,0.5350141046023253,1.0,aud_choice,0.2750703475020436,39.407486906554695,0.0198239580253427,-4.924785178812083,,,0.001032301378016,-1.784221565820098,,,1.0,SCm,good,True,7365.18347665608,8737.823473107901,2872.47760314108,1.0,0.0300882706918081,0.0048087668395054,,AV025,2022-11-07,AV025_2022-11-07_neuron_13,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
288,neuron_16,0.1128281783263578,0.1091057790745804,20.834507875962863,0.1263507123868369,0.1496162353048742,1.0,aud_ipsi_choice,0.047724965108818,1.8547348570936653,0.0460134657935894,-1.1547201561160758,,,,,0.003547931244365,-0.518522933139932,1.0,SCm,good,True,7461.37440558462,8954.639443898119,2692.500703204468,1.0,0.0003864988165291,0.0070771148410187,,AV025,2022-11-07,AV025_2022-11-07_neuron_16,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
290,neuron_19,0.3478233435712204,0.3450869380197711,69.00996521606243,0.3480531054807781,-0.0901100842639603,1.0,aud_ipsi_choice,0.2452298863572715,11.65450178565674,0.0114324214227113,-0.6285988313860535,,,,,0.0016538360659571,0.3122932822285522,1.0,SCm,good,True,7463.233402113514,8955.955488843181,2667.662715844052,1.0,10.995560601840616,0.0087091784325789,,AV025,2022-11-07,AV025_2022-11-07_neuron_19,AV025_2022-11-07,0.6352842589247579,-0.7141314098154876,3.2553122125612264,-2.4959925109815564,0.565022547377064,-0.1478718530032557,AV025,2022-11-07,low,0.458669703374798
