,visL,visR,gamma,baseline,audL,audR,neuronID,model_type,r2,mse,adj_r2,hemi,bombcell_class,is_good,BerylAcronym,ml,ap,dv,probeID,firing_rate,amp_median,subject,date
479,,,,0.5158729946178758,,,neuron_210,baseline,-0.033197826897823246,2.401423520567501,-0.041530067437321794,-1.0,noise,False,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,0.8699756660430745,27.5590028177748,AV005,2022-05-12
480,0.27453444063741483,1.1090862938069754,0.6294766265190611,-0.06951847111566235,0.16928542821711515,0.2204355170015687,neuron_211,audiovisual,-0.024551931086921996,36.139397921937295,-0.06724159488221049,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,1.5096394633574437,18.954494459870137,AV005,2022-05-12
481,,,,0.30120222015695036,0.1666338459825038,0.23772141748425574,neuron_211,aud,-0.018333696007395206,35.920059823894015,-0.043374688532167305,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,1.5096394633574437,18.954494459870137,AV005,2022-05-12
482,0.3004798404929421,1.1212355870232817,0.6089930600316086,0.04576587527326497,,,neuron_211,vis,-0.019299259686773818,35.954118507469985,-0.04436399558071091,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,1.5096394633574437,18.954494459870137,AV005,2022-05-12
483,,,,0.4365077922440317,,,neuron_211,baseline,-0.012901791232381443,35.728458244528454,-0.021070354064900654,-1.0,noise,False,SCs,4671.930647300359,8879.866011811575,1675.7731833875343,0.0,1.5096394633574437,18.954494459870137,AV005,2022-05-12
484,0.17438034905773342,-0.3256604927324642,0.001,1.2103735045048636,0.13670889148454612,-0.1282294578553919,neuron_212,audiovisual,-0.012320266062688878,8.066169920441551,-0.05450027714863426,-1.0,good,True,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.1397695694109866,15.513277484537564,AV005,2022-05-12
485,,,,1.144583484103787,0.14196285785053134,-0.12661998871048458,neuron_212,aud,-0.009712143499226888,8.0453883945989,-0.03454113063445363,-1.0,good,True,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.1397695694109866,15.513277484537564,AV005,2022-05-12
486,0.17228027324624093,-0.32907028637930086,0.001,1.216620353436645,,,neuron_212,vis,-0.012511859732547093,8.06769653918916,-0.03740969234892133,-1.0,good,True,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.1397695694109866,15.513277484537564,AV005,2022-05-12
487,,,,1.1507936906179823,,,neuron_212,baseline,-0.009683797243087655,8.045162531572847,-0.017826408511177005,-1.0,good,True,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,1.1397695694109866,15.513277484537564,AV005,2022-05-12
488,-1.5291858620191994,-0.9802119150998553,10.0,6.187878959894875,0.36383788189716815,1.3766988659440107,neuron_213,audiovisual,-0.020189266357437452,108.60556053607361,-0.06269715245566387,-1.0,good,True,SCs,4669.988729795389,8879.250154912257,1705.7039098204327,0.0,8.633130726977084,11.544261455410137,AV005,2022-05-12
